utterance,probability,sense,perceptibility,property
is_bright,0.905260164,visual,good,bright
looks_bright,0.06131272,visual,good,bright
null,0.033427117,visual,good,bright
is_hot,0.707929876,visual,good,hot
looks_hot,0.17456404,visual,good,hot
null,0.117506084,visual,good,hot
is_humid,0.397960827,visual,good,humid
looks_humid,0.330664982,visual,good,humid
null,0.271374191,visual,good,humid
is_wet,0.846576945,visual,good,wet
looks_wet,0.096292095,visual,good,wet
null,0.057130959,visual,good,wet
is_crowded,0.874995498,visual,good,crowded
looks_crowded,0.079520357,visual,good,crowded
null,0.045484145,visual,good,crowded
is_noisy,0.380189321,visual,good,noisy
looks_noisy,0.338681462,visual,good,noisy
null,0.281129217,visual,good,noisy
looks_bright,0.411626286,visual,bad,bright
null,0.393293466,visual,bad,bright
is_bright,0.195080247,visual,bad,bright
looks_hot,0.418646834,visual,bad,hot
null,0.409481672,visual,bad,hot
is_hot,0.171871495,visual,bad,hot
looks_humid,0.423982193,visual,bad,humid
null,0.42393389,visual,bad,humid
is_humid,0.152083917,visual,bad,humid
looks_wet,0.414614015,visual,bad,wet
null,0.399888581,visual,bad,wet
is_wet,0.185497405,visual,bad,wet
looks_crowded,0.41334929,visual,bad,crowded
null,0.397050409,visual,bad,crowded
is_crowded,0.189600301,visual,bad,crowded
null,0.424739836,visual,bad,noisy
looks_noisy,0.424252323,visual,bad,noisy
is_noisy,0.151007841,visual,bad,noisy
null,0.428380614,auditory,good,bright
sounds_bright,0.425435252,auditory,good,bright
is_bright,0.146184134,auditory,good,bright
sounds_hot,0.385734988,auditory,good,hot
null,0.34625408,auditory,good,hot
is_hot,0.268010932,auditory,good,hot
sounds_humid,0.42273547,auditory,good,humid
null,0.42032242,auditory,good,humid
is_humid,0.15694211,auditory,good,humid
is_wet,0.418016254,auditory,good,wet
sounds_wet,0.321467457,auditory,good,wet
null,0.260516288,auditory,good,wet
is_crowded,0.768240799,auditory,good,crowded
sounds_crowded,0.141177855,auditory,good,crowded
null,0.090581346,auditory,good,crowded
is_noisy,0.901692049,auditory,good,noisy
sounds_noisy,0.063480074,auditory,good,noisy
null,0.034827877,auditory,good,noisy
null,0.438070863,auditory,bad,bright
sounds_bright,0.428277644,auditory,bad,bright
is_bright,0.133651493,auditory,bad,bright
null,0.430225922,auditory,bad,hot
sounds_hot,0.426011179,auditory,bad,hot
is_hot,0.143762898,auditory,bad,hot
null,0.437220746,auditory,bad,humid
sounds_humid,0.42804651,auditory,bad,humid
is_humid,0.134732743,auditory,bad,humid
sounds_wet,0.423677594,auditory,bad,wet
null,0.423035538,auditory,bad,wet
is_wet,0.153286868,auditory,bad,wet
sounds_crowded,0.417173794,auditory,bad,crowded
null,0.405871779,auditory,bad,crowded
is_crowded,0.176954427,auditory,bad,crowded
sounds_noisy,0.411857282,auditory,bad,noisy
null,0.393790252,auditory,bad,noisy
is_noisy,0.194352466,auditory,bad,noisy
null,0.424381938,haptic,good,bright
feels_bright,0.424132733,haptic,good,bright
is_bright,0.151485328,haptic,good,bright
is_hot,0.894964885,haptic,good,hot
feels_hot,0.067550538,haptic,good,hot
null,0.037484576,haptic,good,hot
is_humid,0.701063241,haptic,good,humid
feels_humid,0.17830493,haptic,good,humid
null,0.120631829,haptic,good,humid
is_wet,0.87940939,haptic,good,wet
feels_wet,0.076888534,haptic,good,wet
null,0.043702076,haptic,good,wet
is_crowded,0.50643226,haptic,good,crowded
feels_crowded,0.279233719,haptic,good,crowded
null,0.214334021,haptic,good,crowded
feels_noisy,0.421241712,haptic,good,noisy
null,0.416201845,haptic,good,noisy
is_noisy,0.162556442,haptic,good,noisy
null,0.437646172,haptic,bad,bright
feels_bright,0.428162623,haptic,bad,bright
is_bright,0.134191205,haptic,bad,bright
feels_hot,0.412269796,haptic,bad,hot
null,0.394682598,haptic,bad,hot
is_hot,0.193047606,haptic,bad,hot
feels_humid,0.418797698,haptic,bad,humid
null,0.409859124,haptic,bad,humid
is_humid,0.171343178,haptic,bad,humid
feels_wet,0.413126854,haptic,bad,wet
null,0.39655853,haptic,bad,wet
is_wet,0.190314616,haptic,bad,wet
feels_crowded,0.422313927,haptic,bad,crowded
null,0.41913831,haptic,bad,crowded
is_crowded,0.158547763,haptic,bad,crowded
null,0.436794585,haptic,bad,noisy
feels_noisy,0.427929303,haptic,bad,noisy
is_noisy,0.135276111,haptic,bad,noisy
